id,žanr
15195,Nonfiction
15195,History
15195,Biography
15195,Autobiography
15196,Sequential Art
15196,Nonfiction
15196,Sequential Art
15196,World War II
15196,Autobiography
15196,Biography
15196,History
15196,Historical
15196,War
15196,War
15197,Sequential Art
15197,Sequential Art
15197,Nonfiction
15197,World War II
15197,Autobiography
15197,History
152380,Classics
152380,Fantasy
152380,Childrens
152380,Fiction
15241,Fantasy
15241,Classics
15241,Fiction
15241,Adventure
153492,Fiction
153492,Classics
153492,Mystery
153492,Thriller
153492,Adventure
153492,Mystery
1547992,Poetry
1547992,Classics
1547992,European Literature
1547992,Fiction
15575,Fantasy
15575,Fiction
15575,Fantasy
15575,Science Fiction Fantasy
15575,Fantasy
15575,Adventure
15575,Fantasy
15575,Young Adult
15575,Science Fiction
15575,Epic
15581,Fiction
15581,European Literature
15581,Classics
15581,Cultural
15581,Academic
15622,Fiction
15622,Classics
15622,Cultural
15622,Literature
15622,Historical Fiction
15622,Novels
15622,Academic
15622,Race
15622,Literature
15622,Literature
157993,Classics
157993,Fiction
157993,Fantasy
157993,Childrens
157993,Cultural
157993,Young Adult
157993,Philosophy
157993,Literature
157993,European Literature
157993,Academic
15836,Fiction
15836,Historical Fiction
15836,War
15836,World War II
158420,Nonfiction
158420,Self Help
158420,Psychology
158420,Spirituality
158420,Reference
158420,Health
158420,Religion
158420,Philosophy
158420,Inspirational
158420,Classics
158446,Classics
158446,Adventure
158446,Historical Fiction
158446,Fiction
158446,Adventure
158446,Historical
158446,Romance
15881,Fantasy
15881,Young Adult
15881,Fiction
159178,Historical Fiction
159178,Fiction
159178,Historical
159178,Military History
159178,War
15931,Fiction
15931,Womens Fiction
15931,Romance
15931,Contemporary
15931,Adult
159582,Classics
159582,Fiction
159582,Young Adult
159582,Animals
159582,Historical Fiction
159835,Classics
159835,Nonfiction
159835,Philosophy
159835,Biography
159835,Writing
161099,Historical Fiction
161099,Classics
161099,Young Adult
161099,Historical
161099,Childrens
161156,History
161156,War
161156,War
161156,War
161156,Nonfiction
1617,Nonfiction
1617,Classics
1617,History
1617,Academic
1617,Historical
1617,Autobiography
1617,War
1617,Academic
1617,Biography
1617,Literature
161915,Plays
161915,Drama
161915,Classics
161915,Fiction
161915,Plays
16213,Nonfiction
16213,Science
16213,History
16213,Medical
16213,Health
16213,Thriller
162332,Fiction
162332,Cultural
162332,Asian Literature
162332,Classics
162332,Literature
1624,Nonfiction
1624,Autobiography
1624,Biography
1624,Cultural
1624,Travel
16286,Fiction
16286,Classics
16286,Fantasy
16286,Mystery
16286,Literature
16297,Mystery
16297,Mystery
16297,Fiction
16297,Classics
16297,Mystery
16297,Thriller
16297,European Literature
16297,Mystery
16297,Audiobook
16297,Thriller
16299,Mystery
16299,Classics
16299,Suspense
16299,European Literature
16299,Academic
16299,Novels
16299,Thriller
16304,Mystery
16304,Fiction
16304,Classics
16304,Mystery
16319,Mystery
16319,Fiction
16319,Mystery
16319,Classics
16328,Mystery
16328,Fiction
16328,Mystery
16328,Classics
16331,Fiction
16331,Classics
16331,Mystery
16331,Mystery
16343,Mystery
16343,Fiction
16343,Classics
16343,Mystery
16343,Mystery
16396,Fiction
16396,Humor
16396,Classics
16396,Humor
16396,Short Stories
163977,Fiction
163977,Classics
163977,Literature
16415,Humor
16415,Fiction
16415,Humor
16415,Classics
16415,Humor
164154,Science Fiction
164154,Fiction
164154,Apocalyptic
164154,Classics
164154,Science Fiction
1643980,Fiction
1643980,Adult Fiction
1643980,Literature
16527,Historical Fiction
16527,Fiction
16527,Historical
16527,Romance
16532,Historical Fiction
16532,Fiction
16532,Romance
16532,Magical Realism
165395,Fiction
165395,Glbt
165395,Glbt
165395,Glbt
165395,Classics
16631,Fiction
16631,Classics
16631,European Literature
16631,Literature
16631,Novels
16634,Fiction
16634,Classics
16634,Literature
16634,European Literature
16634,Philosophy
16634,Novels
16690,Science Fiction
16690,Fiction
16690,Classics
16690,Science Fiction Fantasy
166997,Fiction
166997,Classics
166997,Literature
166997,Novels
16707,Fiction
16707,Contemporary
16707,Novels
16707,Literature
16707,Literary Fiction
16707,Humor
16707,Glbt
16707,Literature
16707,Literature
16707,Adult Fiction
16729,Fiction
16729,American
16729,Contemporary
16735,American
